date,well,online,thp,esp_freq,gross,wc,net,gas,water,gor,ampere,fl_dyn,pump_int,pbhp,is_shutdown
2022-02-05,KSL-1,24.0,54.11,23.0,261.02,0.55,259.58439,1.033,1.43,3.97943805480753,25.2,427.70666666666665,1500.0,745.0749999999999,0
2022-02-06,KSL-1,24.0,0.0,23.2,265.76,0.56,264.271744,1.0319,1.49,3.90469289066333,25.2,428.90166666666664,1500.0,741.475,0
2022-02-07,KSL-1,24.0,0.0,23.5,266.46,0.52,265.074408,1.0301,1.39,3.88607865909107,25.2,433.07166666666666,1500.0,738.7583333333333,0
2022-02-08,KSL-1,24.0,0.0,25.0,279.69,0.57,278.095767,1.0449,1.6,3.75733874439017,25.2,444.18833333333333,1500.0,728.3583333333332,0
2022-02-09,KSL-1,24.0,0.0,24.0,279.1,0.72,277.09048,1.0328,2.01,3.72730235986455,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-02-10,KSL-1,23.0,33.96,24.0,258.36,0.57,256.887348,1.0343,1.48,4.02627847596449,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-02-11,KSL-1,24.0,44.36,24.0,284.55,0.69,282.586605,1.0454,1.98,3.6993968627777,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-02-12,KSL-1,24.0,220.61,24.0,277.87,0.49,276.508437,1.0403,1.37,3.76227217978162,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-02-13,KSL-1,24.0,97.95,24.0,281.66,0.54,280.139036,1.0239,1.53,3.65497081242187,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-02-15,KSL-1,24.0,77.37,24.0,278.01,0.56,276.453144,1.0291,1.56,3.72251147196213,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-02-15,KSL-1,24.0,31.0,24.0,277.89,0.55,276.361605,1.0221,1.53,3.69841534246409,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-02-17,KSL-1,24.0,34.0,24.0,285.32,0.55,283.75074,1.0248,1.58,3.61162053709534,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-02-17,KSL-1,24.0,34.0,24.0,269.9,0.56,268.38856,1.0499,1.52,3.91186569203993,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-02-18,KSL-1,24.0,35.0,24.0,264.83,0.52,263.452884,1.0671,1.38,4.05043962244118,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-02-19,KSL-1,24.0,31.0,24.0,286.75,0.56,285.1442,1.0659,1.59,3.73810864818572,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-02-20,KSL-1,24.0,32.0,24.0,272.55,0.58,270.96921,1.029,1.58,3.79747942579897,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-02-21,KSL-1,24.0,31.0,24.0,274.35,0.56,272.81364,1.0374,1.53,3.80259579396397,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-02-22,KSL-1,24.0,31.0,24.0,277.95,0.43,276.754815,1.0366,1.19,3.74555362297852,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-02-23,KSL-1,24.0,28.0,24.0,271.0,0.58,269.4282,1.0422,1.58,3.86819197099635,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-02-24,KSL-1,24.0,29.0,24.0,278.78,0.67,276.912174,1.0411,1.86,3.75967580248025,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-02-25,KSL-1,23.5,28.0,24.0,268.31,0.52,266.914788,1.0288,1.38,3.85441364155515,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-02-26,KSL-1,24.0,27.0,24.0,274.86,0.52,273.430728,1.0374,1.43,3.79401396320021,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-02-27,KSL-1,24.0,27.0,24.0,274.52,0.56,272.982688,1.03,1.53,3.77313304204844,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-02-28,KSL-1,24.0,26.0,24.0,276.2,0.55,274.6809,1.0319,1.51,3.75672280089369,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-03-01,KSL-1,24.0,26.0,24.0,278.2,0.67,276.33606,1.0355,1.87,3.74724891134367,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-03-02,KSL-1,24.0,27.0,24.0,279.84,0.6,278.16096,1.0333,1.68,3.71475565801901,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-03-03,KSL-1,24.0,27.0,24.0,276.97,0.57,275.391271,1.0356,1.57,3.76046777459406,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-03-04,KSL-1,24.0,27.0,24.0,278.11,0.62,276.385718,1.0403,1.72,3.76394267955626,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-03-05,KSL-1,24.0,27.0,24.0,280.86,0.55,279.31527,1.0384,1.55,3.71766284027364,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-03-06,KSL-1,24.0,27.0,24.5,285.81,0.73,283.723587,1.0465,2.08,3.68844906785984,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-03-07,KSL-1,24.0,26.0,24.5,290.61,0.71,288.546669,1.0421,2.06,3.61154749632546,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-03-08,KSL-1,24.0,27.0,24.5,292.44,0.74,290.275944,1.0379,2.17,3.57556325783579,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-03-09,KSL-1,23.8333333333333,28.0,24.5,282.43,0.76,280.283532,1.0389,2.15,3.70660378291508,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-03-10,KSL-1,24.0,28.0,24.5,278.85,0.61,277.149015,1.0456,1.69,3.77269967926821,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-03-11,KSL-1,24.0,28.0,24.5,284.42,0.62,282.656596,1.0475,1.78,3.70591033368278,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-03-12,KSL-1,24.0,28.0,24.5,279.84,0.63,278.077008,1.0452,1.77,3.75867105129382,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-03-13,KSL-1,24.0,28.0,24.5,287.07,0.65,285.204045,1.0507,1.87,3.68402909573039,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-03-15,KSL-1,24.0,28.0,24.5,285.03,0.62,283.262814,1.0473,1.78,3.69727316201836,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-03-15,KSL-1,24.0,28.0,24.5,282.53,0.58,280.891326,1.0451,1.62,3.72065600914996,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-03-17,KSL-1,19.5,28.0,24.5,240.62,0.56,239.272528,0.851,1.35,3.55661390429243,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-03-17,KSL-1,23.0,10.0,24.5,295.93,0.54,294.331978,0.851,1.59,3.55661390429243,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-03-18,KSL-1,24.0,10.0,24.5,313.71,0.8,311.20032,0.851,2.51,3.55661390429243,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-03-19,KSL-1,24.0,10.0,24.5,308.06,0.8,305.59552,0.851,2.46,3.55661390429243,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-03-20,KSL-1,24.0,10.0,24.5,307.33,0.77,304.963559,0.851,2.36,3.55661390429243,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-03-21,KSL-1,24.0,10.0,24.5,304.85,0.79,302.441685,0.851,2.41,3.55661390429243,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-03-22,KSL-1,24.0,10.0,24.5,302.75,0.8,300.328,0.851,2.42,3.55661390429243,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-03-23,KSL-1,24.0,10.0,24.5,304.12,0.79,301.717452,0.851,2.41,3.55661390429243,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-03-24,KSL-1,24.0,10.0,24.5,303.74,0.64,301.796064,0.851,1.95,3.55661390429243,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-03-25,KSL-1,24.0,10.0,24.5,299.59,0.61,297.762501,0.851,1.84,3.55661390429243,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-03-26,KSL-1,24.0,10.0,24.5,300.67,0.6,298.86598,0.851,1.8,3.55661390429243,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-03-27,KSL-1,24.0,10.0,24.5,298.67,0.6,296.87798,0.851,1.79,3.55661390429243,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-03-28,KSL-1,24.0,10.0,24.5,299.59,0.64,297.672624,0.851,1.92,3.55661390429243,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-03-29,KSL-1,24.0,10.0,24.5,302.82,0.59,301.033362,0.851,1.79,3.55661390429243,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-03-30,KSL-1,24.0,10.0,24.5,299.13,0.61,297.305307,0.851,1.82,3.55661390429243,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-03-31,KSL-1,24.0,10.0,24.5,298.26,0.51,296.738874,0.851,1.51,3.55661390429243,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-04-01,KSL-1,24.0,10.0,24.5,302.65,0.59,300.864365,0.851,1.79,3.55661390429243,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-04-02,KSL-1,24.0,10.0,24.5,293.62,0.6,291.85828,0.851,1.76,3.55661390429243,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-04-03,KSL-1,24.0,10.0,24.5,304.17,0.59,302.375397,0.851,1.8,3.55661390429243,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-04-04,KSL-1,24.0,10.0,24.5,295.63,0.6,293.85622,0.851,1.76,3.55661390429243,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-04-05,KSL-1,24.0,10.0,24.5,303.06,0.61,301.211334,0.851,1.84,3.55661390429243,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-04-06,KSL-1,24.0,10.0,24.5,300.65,0.62,298.78597,0.851,1.84,0.0,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-04-07,KSL-1,24.0,10.0,24.5,299.56,0.7,297.46308,0.851,1.84,0.0,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-04-08,KSL-1,24.0,10.0,24.5,302.29,0.7,300.17397,0.851,2.12,0.0,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-04-09,KSL-1,24.0,10.0,24.5,297.29,0.7,295.20897,0.851,2.08,0.0,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-04-10,KSL-1,24.0,10.0,24.5,297.04,0.7,294.96072,0.851,2.08,0.0,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-04-11,KSL-1,24.0,10.0,24.5,304.11,0.7,301.98123,0.851,2.13,0.0,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-04-12,KSL-1,24.0,10.0,24.5,297.99,0.69,295.933869,0.851,2.05,0.0,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-04-13,KSL-1,24.0,10.0,24.5,302.54,0.73,300.331458,0.851,2.2,0.0,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-04-15,KSL-1,24.0,10.0,24.5,297.92,0.8,295.53664,0.851,2.38,0.0,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-04-15,KSL-1,24.0,10.0,24.5,304.206,0.8,301.772352,0.851,2.42,0.0,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-04-16,KSL-1,24.0,10.0,24.5,297.91,0.72,295.765048,0.851,2.16,0.0,25.2,450.6684615384615,1500.0,724.1461538461538,0
2022-04-17,KSL-1,24.0,10.0,24.5,303.01,0.7,300.88893,0.851,2.12,0.0,25.2,492.2,1500.0,698.8,0
2022-04-18,KSL-1,24.0,10.0,24.5,298.65,0.73,296.469855,0.851,2.18,0.0,25.2,491.65,1500.0,696.4,0
2022-04-19,KSL-1,24.0,10.0,24.5,295.22,0.7,293.15346,0.851,2.07,0.0,25.2,491.05,1500.0,696.7,0
2022-04-20,KSL-1,24.0,10.0,28.5,327.8,0.9,324.8498,0.851,2.35,0.0,25.2,492.2,1500.0,698.9,0
2022-04-21,KSL-1,24.0,10.0,24.5,337.32,2.01,330.539868,0.851,6.77,0.0,25.2,570.98,1500.0,630.1,0
2022-04-22,KSL-1,24.0,10.0,24.5,288.36,0.54,286.802856,0.851,1.55,0.0,25.2,492.2,1500.0,701.8,0
2022-04-23,KSL-1,24.0,10.0,25.0,302.69,0.37,301.570047,0.851,1.12,0.0,25.2,490.47,1500.0,697.1,0
2022-04-24,KSL-1,24.0,10.0,25.0,298.77,0.39,297.604797,0.851,1.17,0.0,25.2,489.32,1500.0,697.4,0
2022-04-25,KSL-1,24.0,10.0,25.0,296.37,0.42,295.125246,0.851,1.26,0.0,25.2,488.18,1500.0,696.7,0
2022-04-26,KSL-1,24.0,10.0,25.0,304.48,0.43,303.170736,0.851,1.32,0.0,25.2,487.02,1500.0,701.9,0
2022-04-27,KSL-1,24.0,10.0,25.0,303.23,0.4,302.01708,0.851,1.21,0.0,25.2,497.95,1500.0,692.0,0
2022-04-28,KSL-1,24.0,10.0,25.5,318.691,0.47,317.19315229999995,0.851,1.5,0.0,25.2,497.95,1500.0,693.0,0
2022-04-29,KSL-1,24.0,10.0,25.5,314.957,0.54,313.2562322,0.851,1.7,0.0,25.2,508.88,1500.0,685.8,0
2022-04-30,KSL-1,24.0,10.0,25.5,312.428,0.57,310.6471604,0.851,1.77,0.0,25.2,510.03,1500.0,685.2,0
2022-05-01,KSL-1,24.0,10.0,25.5,316.702,0.574356966485845,314.883,0.851,1.82,0.0,25.2,510.6,1500.0,685.0,0
2022-05-02,KSL-1,24.0,10.0,25.5,308.965,0.59,307.1421065,0.851,1.83,0.0,25.2,511.18,1994.0,685.4,0
2022-05-03,KSL-1,24.0,10.0,25.5,315.893,0.6,313.997642,0.851,1.9,0.0,25.2,511.75,1994.0,682.2,0
2022-05-04,KSL-1,24.0,10.0,25.5,310.933,0.63,308.9741221,0.851,1.97,0.0,25.2,511.18,1994.0,682.6,0
2022-05-05,KSL-1,24.0,10.0,25.5,313.689,0.63,311.7127593,0.851,1.97,0.0,25.2,510.6,1994.0,684.9,0
2022-05-06,KSL-1,24.0,10.0,25.5,317.26,0.6,315.35644,0.851,1.91,0.0,25.2,511.18,1994.0,682.4,0
2022-05-07,KSL-1,24.0,10.0,25.5,308.202,0.61,306.3219678,0.851,1.88,0.0,25.2,512.33,1994.0,682.4,0
2022-05-08,KSL-1,24.0,10.0,25.5,308.57,0.62,306.656866,0.851,1.9,0.0,25.2,511.18,1994.0,682.4,0
2022-05-09,KSL-1,24.0,10.0,25.5,317.73,0.63,315.728301,0.851,2.01,0.0,25.2,511.75,1994.0,686.8,0
2022-05-10,KSL-1,24.0,10.0,25.5,310.65,0.66,308.59971,0.851,2.04,0.0,25.2,511.18,1994.0,684.7,0
2022-05-11,KSL-1,24.0,10.0,25.5,314.78,0.58,312.954276,0.851,1.83,0.0,25.2,511.75,1994.0,684.5,0
2022-05-12,KSL-1,24.0,10.0,25.5,314.63,0.59,312.773683,0.851,1.86,0.0,25.2,511.18,1994.0,682.5,0
2022-05-13,KSL-1,24.0,10.0,25.5,311.56,0.56,309.815264,0.851,1.76,0.0,25.2,511.75,1994.0,685.0,0
2022-05-14,KSL-1,24.0,10.0,25.5,315.06,0.62,313.106628,0.851,1.94,0.0,25.2,511.75,1994.0,687.4,0
